Type,Line,Space,ID,Origin,InitialOrigin,Reference1,Reference2,Reference3,Tags,Roles,MaxUnauthorised,NumberReference1,NumberReference2,NumberReference3
Image,59,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0095.jp2,,Vol250,,,,,-1,0095,0,0
Image,60,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0081.jp2,,Vol250,,,,,-1,0081,0,0
Image,61,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0056.jp2,,Vol250,,,,,-1,0056,0,0
Image,62,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0042.jp2,,Vol250,,,,,-1,0042,0,0
Image,63,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0122.jp2,,Vol250,,,,,-1,0122,0,0
Image,64,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0136.jp2,,Vol250,,,,,-1,0136,0,0
Image,65,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0137.jp2,,Vol250,,,,,-1,0137,0,0
Image,66,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0123.jp2,,Vol250,,,,,-1,0123,0,0
Image,67,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0043.jp2,,Vol250,,,,,-1,0043,0,0
Image,68,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0057.jp2,,Vol250,,,,,-1,0057,0,0
Image,69,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0080.jp2,,Vol250,,,,,-1,0080,0,0
Image,70,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0094.jp2,,Vol250,,,,,-1,0094,0,0
Image,71,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0082.jp2,,Vol250,,,,,-1,0082,0,0
Image,72,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0096.jp2,,Vol250,,,,,-1,0096,0,0
Image,73,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0041.jp2,,Vol250,,,,,-1,0041,0,0
Image,74,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0055.jp2,,Vol250,,,,,-1,0055,0,0
Image,75,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0069.jp2,,Vol250,,,,,-1,0069,0,0
Image,76,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0135.jp2,,Vol250,,,,,-1,0135,0,0
Image,77,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0121.jp2,,Vol250,,,,,-1,0121,0,0
Image,78,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0109.jp2,,Vol250,,,,,-1,0109,0,0
Image,79,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0108.jp2,,Vol250,,,,,-1,0108,0,0
Image,80,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0120.jp2,,Vol250,,,,,-1,0120,0,0
Image,81,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0134.jp2,,Vol250,,,,,-1,0134,0,0
Image,82,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0068.jp2,,Vol250,,,,,-1,0068,0,0
Image,83,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0054.jp2,,Vol250,,,,,-1,0054,0,0
Image,84,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0040.jp2,,Vol250,,,,,-1,0040,0,0
Image,85,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0097.jp2,,Vol250,,,,,-1,0097,0,0
Image,86,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0083.jp2,,Vol250,,,,,-1,0083,0,0
Image,87,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0087.jp2,,Vol250,,,,,-1,0087,0,0
Image,88,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0093.jp2,,Vol250,,,,,-1,0093,0,0
Image,89,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0078.jp2,,Vol250,,,,,-1,0078,0,0
Image,90,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0044.jp2,,Vol250,,,,,-1,0044,0,0
Image,91,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0050.jp2,,Vol250,,,,,-1,0050,0,0
Image,92,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0118.jp2,,Vol250,,,,,-1,0118,0,0
Image,93,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0130.jp2,,Vol250,,,,,-1,0130,0,0
Image,94,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0124.jp2,,Vol250,,,,,-1,0124,0,0
Image,95,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0125.jp2,,Vol250,,,,,-1,0125,0,0
Image,96,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0131.jp2,,Vol250,,,,,-1,0131,0,0
Image,97,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0119.jp2,,Vol250,,,,,-1,0119,0,0
Image,98,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0051.jp2,,Vol250,,,,,-1,0051,0,0
Image,99,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0045.jp2,,Vol250,,,,,-1,0045,0,0
Image,100,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0079.jp2,,Vol250,,,,,-1,0079,0,0
Image,101,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0092.jp2,,Vol250,,,,,-1,0092,0,0
Image,102,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0086.jp2,,Vol250,,,,,-1,0086,0,0
Image,103,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0090.jp2,,Vol250,,,,,-1,0090,0,0
Image,104,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0084.jp2,,Vol250,,,,,-1,0084,0,0
Image,105,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0053.jp2,,Vol250,,,,,-1,0053,0,0
Image,106,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0047.jp2,,Vol250,,,,,-1,0047,0,0
Image,107,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0127.jp2,,Vol250,,,,,-1,0127,0,0
Image,108,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0133.jp2,,Vol250,,,,,-1,0133,0,0
Image,109,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0132.jp2,,Vol250,,,,,-1,0132,0,0
Image,110,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0126.jp2,,Vol250,,,,,-1,0126,0,0
Image,111,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0046.jp2,,Vol250,,,,,-1,0046,0,0
Image,112,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0052.jp2,,Vol250,,,,,-1,0052,0,0
Image,113,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0085.jp2,,Vol250,,,,,-1,0085,0,0
Image,114,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0091.jp2,,Vol250,,,,,-1,0091,0,0
Image,115,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0088.jp2,,Vol250,,,,,-1,0088,0,0
Image,116,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0077.jp2,,Vol250,,,,,-1,0077,0,0
Image,117,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0063.jp2,,Vol250,,,,,-1,0063,0,0
Image,118,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0103.jp2,,Vol250,,,,,-1,0103,0,0
Image,119,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0117.jp2,,Vol250,,,,,-1,0117,0,0
Image,120,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0116.jp2,,Vol250,,,,,-1,0116,0,0
Image,121,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0102.jp2,,Vol250,,,,,-1,0102,0,0
Image,122,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0062.jp2,,Vol250,,,,,-1,0062,0,0
Image,123,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0076.jp2,,Vol250,,,,,-1,0076,0,0
Image,124,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0089.jp2,,Vol250,,,,,-1,0089,0,0
Image,125,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0060.jp2,,Vol250,,,,,-1,0060,0,0
Image,126,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0074.jp2,,Vol250,,,,,-1,0074,0,0
Image,127,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0048.jp2,,Vol250,,,,,-1,0048,0,0
Image,128,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0114.jp2,,Vol250,,,,,-1,0114,0,0
Image,129,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0100.jp2,,Vol250,,,,,-1,0100,0,0
Image,130,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0128.jp2,,Vol250,,,,,-1,0128,0,0
Image,131,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0129.jp2,,Vol250,,,,,-1,0129,0,0
Image,132,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0101.jp2,,Vol250,,,,,-1,0101,0,0
Image,133,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0115.jp2,,Vol250,,,,,-1,0115,0,0
Image,134,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0049.jp2,,Vol250,,,,,-1,0049,0,0
Image,135,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0075.jp2,,Vol250,,,,,-1,0075,0,0
Image,136,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0061.jp2,,Vol250,,,,,-1,0061,0,0
Image,137,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0059.jp2,,Vol250,,,,,-1,0059,0,0
Image,138,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0065.jp2,,Vol250,,,,,-1,0065,0,0
Image,139,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0071.jp2,,Vol250,,,,,-1,0071,0,0
Image,140,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0139.jp2,,Vol250,,,,,-1,0139,0,0
Image,141,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0111.jp2,,Vol250,,,,,-1,0111,0,0
Image,142,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0105.jp2,,Vol250,,,,,-1,0105,0,0
Image,143,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0104.jp2,,Vol250,,,,,-1,0104,0,0
Image,144,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0110.jp2,,Vol250,,,,,-1,0110,0,0
Image,145,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0138.jp2,,Vol250,,,,,-1,0138,0,0
Image,146,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0070.jp2,,Vol250,,,,,-1,0070,0,0
Image,147,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0064.jp2,,Vol250,,,,,-1,0064,0,0
Image,148,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0058.jp2,,Vol250,,,,,-1,0058,0,0
Image,149,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0099.jp2,,Vol250,,,,,-1,0099,0,0
Image,150,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0072.jp2,,Vol250,,,,,-1,0072,0,0
Image,151,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0066.jp2,,Vol250,,,,,-1,0066,0,0
Image,152,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0106.jp2,,Vol250,,,,,-1,0106,0,0
Image,153,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0112.jp2,,Vol250,,,,,-1,0112,0,0
Image,154,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0113.jp2,,Vol250,,,,,-1,0113,0,0
Image,155,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0107.jp2,,Vol250,,,,,-1,0107,0,0
Image,156,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0067.jp2,,Vol250,,,,,-1,0067,0,0
Image,157,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0073.jp2,,Vol250,,,,,-1,0073,0,0
Image,158,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0098.jp2,,Vol250,,,,,-1,0098,0,0
Image,159,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0014.jp2,,Vol250,,,,,-1,0014,0,0
Image,160,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0028.jp2,,Vol250,,,,,-1,0028,0,0
Image,161,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0216.jp2,,Vol250,,,,,-1,0216,0,0
Image,162,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0202.jp2,,Vol250,,,,,-1,0202,0,0
Image,163,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0160.jp2,,Vol250,,,,,-1,0160,0,0
Image,164,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0174.jp2,,Vol250,,,,,-1,0174,0,0
Image,165,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0148.jp2,,Vol250,,,,,-1,0148,0,0
Image,166,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0149.jp2,,Vol250,,,,,-1,0149,0,0
Image,167,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0175.jp2,,Vol250,,,,,-1,0175,0,0
Image,168,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0161.jp2,,Vol250,,,,,-1,0161,0,0
Image,169,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0203.jp2,,Vol250,,,,,-1,0203,0,0
Image,170,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0217.jp2,,Vol250,,,,,-1,0217,0,0
Image,171,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0029.jp2,,Vol250,,,,,-1,0029,0,0
Image,172,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0001.jp2,,Vol250,,,,,-1,0001,0,0
Image,173,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0015.jp2,,Vol250,,,,,-1,0015,0,0
Image,174,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0003.jp2,,Vol250,,,,,-1,0003,0,0
Image,175,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0017.jp2,,Vol250,,,,,-1,0017,0,0
Image,176,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0201.jp2,,Vol250,,,,,-1,0201,0,0
Image,177,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0215.jp2,,Vol250,,,,,-1,0215,0,0
Image,178,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0188.jp2,,Vol250,,,,,-1,0188,0,0
Image,179,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0177.jp2,,Vol250,,,,,-1,0177,0,0
Image,180,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0163.jp2,,Vol250,,,,,-1,0163,0,0
Image,181,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0162.jp2,,Vol250,,,,,-1,0162,0,0
Image,182,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0176.jp2,,Vol250,,,,,-1,0176,0,0
Image,183,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0189.jp2,,Vol250,,,,,-1,0189,0,0
Image,184,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0214.jp2,,Vol250,,,,,-1,0214,0,0
Image,185,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0200.jp2,,Vol250,,,,,-1,0200,0,0
